;Relação dos municípios com as maiores proporções de população  autodeclarada indígena do País, por situação do domicílio - Unidades da Federação - 2010 ;;;;;;;;;;
;Código;Município;Total;;Código;Município;Urbana;;Código;Município;Rural
Rondônia;;;;;;;;;;;
6;2805703;Propriá;0,4;;2803609;Laranjeiras;0,4;;2800506;Areia Branca;0,3
7;2804003;Maruim;0,4;;2802809;Indiaroba;0,4;;2805703;Propriá;0,2
8;2806701;São Cristóvão;0,4;;2807105;Simão Dias;0,4;;2806107;Rosário do Catete;0,2
9;2803609;Laranjeiras;0,4;;2800308;Aracaju;0,4;;2805901;Riachuelo;0,2
10;2800308;Aracaju;0,4;;2804003;Maruim;0,4;;2803609;Laranjeiras;0,2
;;;;;;;;;;;
Bahia;;;;;;;;;;;
1;2923902;Pau Brasil;21,3;;2927705;Santa Cruz Cabrália;17,5;;2923902;Pau Brasil;58,6
2;2902658;Banzaê;18,4;;2927101;Rodelas;13,3;;2902658;Banzaê;27,4
3;2927705;Santa Cruz Cabrália;14,9;;2925501;Prado;5,3;;2925303;Porto Seguro;15,7
4;2927101;Rodelas;12,3;;2923902;Pau Brasil;3,8;;2925501;Prado;11,3
5;2911402;Glória;9,4;;2912806;Ibirapuã;3,8;;2911402;Glória;11,2
6;2925501;Prado;7,9;;2915403;Itaju do Colônia;3,1;;2927705;Santa Cruz Cabrália;8,2
7;2900207;Abaré;4,3;;2910701;Euclides da Cunha;2,3;;2900207;Abaré;7,9
8;2925303;Porto Seguro;4,2;;2911402;Glória;1,8;;2927101;Rodelas;7,0
9;2915403;Itaju do Colônia;3,7;;2925303;Porto Seguro;1,7;;2913606;Ilhéus;6,4
10;2912806;Ibirapuã;2,3;;2913606;Ilhéus;1,4;;2915403;Itaju do Colônia;6,3
;;;;;;;;;;;
Minas Gerais;;;;;;;;;;;
1;3162450;São João das Missões;67,7;;3162450;São João das Missões;16,7;;3162450;São João das Missões;81,2
2;3157658;Santa Helena de Minas;12,5;;3170305;Umburatiba;2,3;;3157658;Santa Helena de Minas;32,4
3;3106606;Bertópolis;11,2;;3132107;Itacarambi;1,6;;3106606;Bertópolis;28,2
4;3113800;Carmésia;10,2;;3110806;Campanário;1,1;;3113800;Carmésia;21,0
5;3132107;Itacarambi;2,4;;3119500;Coronel Murta;1,1;;3154309;Resplendor;8,2
6;3154309;Resplendor;2,2;;3120102;Couto de Magalhães de Minas;0,9;;3132107;Itacarambi;5,3
7;3110806;Campanário;1,7;;3113800;Carmésia;0,8;;3140506;Martinho Campos;4,4
8;3119500;Coronel Murta;1,7;;3109451;Cabeceira Grande;0,8;;3110806;Campanário;3,6
9;3170305;Umburatiba;1,3;;3116159;Chapada Gaúcha;0,7;;3119500;Coronel Murta;3,3
10;3137007;Ladainha;1,2;;3157401;Santa Cruz do Escalvado;0,6;;3137007;Ladainha;1,6
;;;;;;;;;;;
Espírito Santo;;;;;;;;;;;
1;3200607;Aracruz;3,7;;3200607;Aracruz;0,9;;3200607;Aracruz;23,3
2;3200409;Anchieta;0,5;;3200409;Anchieta;0,6;;3200409;Anchieta;0,3
3;3204054;Pedro Canário;0,3;;3201159;Brejetuba;0,4;;3203502;Montanha;0,3
4;3205309;Vitória;0,3;;3203346;Marechal Floriano;0,4;;3203130;João Neiva;0,3
